arm,split,mode,step,image_count,eligible_image_count,mae_m,bias_m,mean_valid_image_std_ratio,below_min_fraction,flat_image_fraction,local_contrast_ratio,local_slope,local_difference_mae_m,sigmoid_derivative_mean,observation_count,mean_cdf_positive_count,mean_cdf_valid_count,mean_nn_distance_m,mean_center_z_error_m,mean_point_valid_fraction,mean_view_valid_fraction,mean_seed_clamp_fraction,mean_seed_fallback_fraction,mean_axis_radius_above_fraction,scene_count,negative_local_slope_frames,valid_mae_p10_m,valid_mae_median_m,valid_mae_p90_m,mean_foreground_mae_m,mean_foreground_bias_m,mean_background_mae_m,mean_foreground_std_ratio,local_slope_min,local_slope_median,local_slope_max,sigmoid_extreme_fraction_max
D0,validation_test_seen,eval,0,32,32,0.0039311995788,0.000852109605376,0.983071609924,0,0,1.01869624605,0.636997716282,0.00227990435451,0.243574564811,32,5950.40625,28357.5,0.00585006282199,0.00741332143662,0.648254394531,0.888214111328,0,0,0.780746459961,30,0,0.00281543149613,0.0039115055697,0.00527218589559,0.00735551954131,0.00133927707225,0.00231705157785,0.96738915807,0.299769819258,0.634930929621,0.91817906928,0
D1,validation_test_seen,eval,0,32,32,0.0039311995788,0.000852109605376,0.983071609924,0,0,1.01869624605,0.636997716282,0.00227990435451,0.243574564811,32,5950.40625,28357.5,0.00585006282199,0.00741332143662,0.648254394531,0.888214111328,0,0,0.780746459961,30,0,0.00281543149613,0.0039115055697,0.00527218589559,0.00735551954131,0.00133927707225,0.00231705157785,0.96738915807,0.299769819258,0.634930929621,0.91817906928,0
D0,validation_test_seen,eval,50,32,32,0.00402574625332,-0.000105939050172,0.989594178087,0,0,1.04300433109,0.640945521404,0.00240374913483,0.243424352724,32,5882.0625,26569.5,0.00616001844901,0.00762019999092,0.605651855469,0.893188476562,0,0,0.782227834687,30,0,0.00282344056759,0.00394139788114,0.00541362636723,0.00766793799994,-0.000331347437623,0.00229265616872,0.970344172848,0.300192344557,0.649698015064,0.914434445628,0
D1,validation_test_seen,eval,50,32,32,0.00658379650849,0.00180553757434,1.00167944577,0,0,1.36118152609,0.681405442779,0.00427013100125,0.243562466465,32,2914.4375,16645.5,0.010029501369,0.0167314135469,0.377105712891,0.901092529297,0,0,0.745506282896,30,0,0.00418529412709,0.00634713866748,0.00984843699262,0.0137331381702,0.0048097777435,0.00327147784992,1.04205361179,0.420087957809,0.622696445874,1.1835057343,0
D0,validation_test_seen,eval,100,32,32,0.00493413227377,0.0025172991086,1.00554239955,0,0,1.02196845004,0.641625140636,0.00235482506469,0.2436131672,32,5269.03125,27177,0.00600795609353,0.00806207935966,0.618682861328,0.88916015625,0,0,0.781336471438,30,0,0.00398163585924,0.00495068542659,0.00612998558208,0.00808040935954,0.00335126893515,0.00346711763268,0.991085841297,0.329707058484,0.638258953327,0.904140451366,0
D1,validation_test_seen,eval,100,32,32,0.0139917179331,0.00510862081501,0.931300818176,0,0,1.23442769869,0.15001728127,0.00574345882342,0.244397019036,32,1475.71875,12205.5,0.0146161308367,0.0354321051273,0.273803710938,0.900482177734,0,0,0.685712179169,30,7,0.00856231460348,0.0125166336074,0.0224203275517,0.0296071391494,0.0229128799365,0.0064417864487,0.865533258108,-0.136201139012,0.119827085279,0.543096174167,0
D0,validation_test_seen,eval,200,32,32,0.00460777014814,0.00141281739729,0.967542239789,0,0,1.05002314293,0.646346643673,0.00238494726364,0.243727919646,32,5586.90625,27697.5,0.00605243055907,0.00772024061007,0.626892089844,0.894500732422,0,0,0.770673118532,30,0,0.00352233867161,0.00455939001404,0.00603091637604,0.00778179818008,0.00154398404788,0.00311716063879,0.949873785556,0.288713001125,0.656569928031,0.914167635488,0
D1,validation_test_seen,eval,200,32,32,0.0106790051505,-0.00222998276485,1.01172203372,0,0,1.14515605585,0.532013121035,0.00389966835064,0.243042492308,32,1822.65625,9172.5,0.0165639640472,0.0244931713387,0.211029052734,0.899932861328,0,0,0.78054555133,30,0,0.00830931710079,0.00982298515737,0.0136185839772,0.0230536745512,-0.00749936925786,0.00489983135776,0.783206940339,0.242364641865,0.480123724046,0.954316228934,0
D0,validation_test_seen,eval,300,32,32,0.00442328825011,0.000542343064296,0.980181783646,0,0,1.011490915,0.62967217826,0.00235026110386,0.243563103024,32,5815.75,27418.5,0.00611839661724,0.00766035314882,0.629516601562,0.885925292969,0,0,0.784459430724,30,0,0.00303073620889,0.00433057709597,0.00563079626299,0.00764264757163,-8.91460595085e-05,0.00289410910409,0.966548104899,0.295036176959,0.65691290638,0.902303273749,0
D1,validation_test_seen,eval,300,32,32,0.00850256897684,0.00167880184631,0.961702848774,0,0,1.06315506352,0.463203518418,0.00375682896265,0.243824426085,32,2732.21875,17032.5,0.0115392437147,0.0219443385431,0.383880615234,0.903900146484,0,0,0.736137395725,30,0,0.00513551584445,0.00747920223512,0.0138893667608,0.0181606287806,0.0058210179659,0.00398008003685,0.836330169722,0.139072143543,0.470861242434,0.747138172559,0
