arm,split,mode,step,image_count,eligible_image_count,mae_m,bias_m,mean_image_std_ratio,below_min_fraction,foreground_mae_m,foreground_bias_m,foreground_pred_std_m,foreground_gt_std_m,foreground_mean_image_std_ratio,flat_image_fraction,local_contrast_ratio,local_slope,local_correlation,local_difference_mae_m,sigmoid_derivative_mean
P4_normal,train,eval,400,16,16,0.011614835966611281,0.0045134467427487834,0.9064615530835124,0.0,0.023465696489438415,0.014872695894155186,0.03425295010674745,0.04331311653368175,0.8113286409184621,0.0,0.7800498112857828,0.39342300779090145,0.5057368311050173,0.0035649438650580123,0.24385299254208803
P4_normal,train,eval,450,16,16,0.012412490788847208,0.0036609617054637056,0.983240260959933,0.0,0.02098685421515256,0.0008571908951466867,0.039694855571724474,0.04331311653368175,0.9337356736909791,0.0,1.3062707813533891,0.6669289110475214,0.510875742370926,0.004812288403627463,0.2432237220928073
P4_normal,train,eval,500,16,16,0.0166810144437477,0.00600121724892233,0.8263440172932548,0.0,0.0319201797246933,0.023821078713808674,0.0293069671606645,0.04331311653368175,0.6987279984983803,0.0,0.6602120373194769,0.16621837546032367,0.24943861441898485,0.004339570397860371,0.2444911440834403
P4_normal,train,train,400,16,16,0.011614835966611281,0.0045134467427487834,0.9064615530835124,0.0,0.023465696489438415,0.014872695894155186,0.03425295010674745,0.04331311653368175,0.8113286409184621,0.0,0.7800498112857828,0.39342300779090145,0.5057368311050173,0.0035649438650580123,0.24385299254208803
P4_normal,train,train,450,16,16,0.012412490788847208,0.0036609617054637056,0.983240260959933,0.0,0.02098685421515256,0.0008571908951466867,0.039694855571724474,0.04331311653368175,0.9337356736909791,0.0,1.3062707813533891,0.6669289110475214,0.510875742370926,0.004812288403627463,0.2432237220928073
P4_normal,train,train,500,16,16,0.0166810144437477,0.00600121724892233,0.8263440172932548,0.0,0.0319201797246933,0.023821078713808674,0.0293069671606645,0.04331311653368175,0.6987279984983803,0.0,0.6602120373194769,0.16621837546032367,0.24943861441898485,0.004339570397860371,0.2444911440834403
P4_normal,validation_test_seen,eval,400,32,32,0.009332819594419561,0.0021592384195940895,0.9474953370619011,0.0,0.02023278083652258,0.009262177974505903,0.036857291066553444,0.04316521727014333,0.8719673580320411,0.0,0.873924370261857,0.4464796461181229,0.5017357741680046,0.0034645116393221542,0.243960652500391
P4_normal,validation_test_seen,eval,450,32,32,0.011570202856091782,0.003844527793035013,0.9899504182848395,0.0,0.019997037743451074,0.0003603216619012528,0.04083560063736513,0.04316521727014333,0.9631826836732668,0.0,1.4030441909725846,0.6804126354975966,0.483283817843459,0.004941186576616019,0.24387720646336675
P4_normal,validation_test_seen,eval,500,32,32,0.013546466449042782,0.001614830648577481,0.8717053830212694,0.0,0.026639699994120747,0.016207364099727783,0.03263785218587145,0.04316521727014333,0.7757475956190704,0.0,0.7745343742098736,0.2413932245192192,0.2982339835503734,0.004075898032169789,0.24435535818338394
P4_normal,validation_test_seen,train,400,32,32,0.009332819594419561,0.0021592384195940895,0.9474953370619011,0.0,0.02023278083652258,0.009262177974505903,0.036857291066553444,0.04316521727014333,0.8719673580320411,0.0,0.873924370261857,0.4464796461181229,0.5017357741680046,0.0034645116393221542,0.243960652500391
P4_normal,validation_test_seen,train,450,32,32,0.011570202856091782,0.003844527793035013,0.9899504182848395,0.0,0.019997037743451074,0.0003603216619012528,0.04083560063736513,0.04316521727014333,0.9631826836732668,0.0,1.4030441909725846,0.6804126354975966,0.483283817843459,0.004941186576616019,0.24387720646336675
